scen,from,to,lid,year,level,marginal,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j,order_from,order_to,islf,isrc,isosg
1,100182,100185,41,2051,60.297768361340154,0.0,100182,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100182,100211,42,2051,1231.1209245987386,0.0,100182,44.531653251,-70.5229981549999,101,115.0,RUMFORD IP,6,0,0.0,0,0,ISONE,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100185,104095,43,2051,46.013792443415184,0.0,100185,43.656815165,-70.3761190799999,101,115.0,WESTBROOK,6,0,0.0,0,0,ISONE,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,100575,104143,45,2051,3477.184747412639,0.0,100575,43.644216225,-70.4323739929999,101,345.0,LONEPINE_POI,6,0,0.0,0,0,ISONE,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,103002,103028,46,2051,51.67758204078146,0.0,103002,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE,44.82418441,-68.705469114,101,115.0,GRAHAM,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,103710,104079,47,2051,2088.201473058064,0.0,103710,43.167643457,-70.8177316849999,101,345.0,ELIOT,6,0,0.0,0,0,ISONE,43.098098,-70.792269,101,345.0,NEWINGTON,6,0,0.0,0,1,ISONE,6,6,False,False,False
1,103710,104095,48,2051,128.38671941976213,0.0,103710,43.167643457,-70.8177316849999,101,345.0,ELIOT,6,0,0.0,0,0,ISONE,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104079,104119,49,2051,2283.9680580091426,0.0,104079,43.098098,-70.792269,101,345.0,NEWINGTON,6,0,0.0,0,1,ISONE,42.949840692,-70.8688262959999,101,345.0,TIMBER SWAMP,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104095,104143,50,2051,4073.421570510451,0.0,104095,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,42.904856709,-71.3421055039999,101,345.0,SCOBIE POND,6,0,0.0,0,0,ISONE,6,6,False,False,False
1,104095,104162,51,2051,33.4157007990776,0.0,104095,43.141714233,-71.1848028079999,101,345.0,DEERFIELD,6,0,0.0,0,0,ISONE,42.830541134,-71.4834224719999,101,345.0,EAGLE,6,0,0.0,0,0,ISONE,6,6,False,False,False
