scen,bus,tech,gid,year,level,marginal,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
1,100211,Solar,559,2046,537.472253108,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100211,Solar,559,2051,537.472253108,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100211,Wind,906,2051,5376.0,0.0,44.5533939250001,-70.5420567309999,101,115.0,NEWPAGEPAPER,6,0,0.0,0,0,ISONE
1,100575,Solar,560,2051,1250.864775,0.0,43.644216225,-70.4323739929999,101,345.0,LONEPINE_POI,6,0,0.0,0,0,ISONE
1,103002,CC,19,2031,381.2633666992188,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,CC,19,2036,381.2633666992188,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,CC,19,2041,381.2633666992188,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,CC,19,2046,381.2633666992188,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,CC,19,2051,381.2633666992188,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,Hydro,363,2031,114.91,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,Hydro,363,2036,114.91,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,Hydro,363,2041,114.91,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,Hydro,363,2046,114.91,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,Hydro,363,2051,114.91,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
1,103002,Solar,561,2051,5176.213157935,0.0,45.394837963,-68.5295635439999,101,345.0,KEENE ROAD 2,6,0,0.0,0,0,ISONE
