bus,tech,gid,year,level,latitude,longitude,area,baskv,bus_name,ord,isbb,isei,islf,ispoi,iso
207922,Wind,986,2051,162.2,40.0957,-76.6961,229,230.0,BRIS,6,0,0.0,0,0,PJM
208009,CoalST,244,2036,1508.1,41.4827,-75.5643,229,230.0,LACK,6,0,0.0,0,0,PJM
208009,CoalST,244,2051,1508.1,41.4827,-75.5643,229,230.0,LACK,6,0,0.0,0,0,PJM
216900,Wind,992,2031,73.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
216900,Wind,992,2036,73.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
216900,Wind,992,2051,73.0,40.8613,-74.1583,231,230.0,ATHENIA,6,0,0.0,0,0,PJM
218304,Solar,718,2031,10.0,40.4564,-74.4768,231,230.0,BRUNSWCK,6,0,0.0,0,0,PJM
218304,Solar,718,2036,10.0,40.4564,-74.4768,231,230.0,BRUNSWCK,6,0,0.0,0,0,PJM
218304,Solar,718,2051,10.0,40.4564,-74.4768,231,230.0,BRUNSWCK,6,0,0.0,0,0,PJM
218307,Wind,1001,2031,27.0,40.6564,-74.2856,231,230.0,ALDENE_2,6,0,0.0,0,0,PJM
218307,Wind,1001,2036,27.0,40.6564,-74.2856,231,230.0,ALDENE_2,6,0,0.0,0,0,PJM
218307,Wind,1001,2051,27.0,40.6564,-74.2856,231,230.0,ALDENE_2,6,0,0.0,0,0,PJM
218339,Wind,1002,2031,10.15,40.3493,-74.5504,231,230.0,DEVILSB_1,6,0,0.0,0,0,PJM
218339,Wind,1002,2036,10.15,40.3493,-74.5504,231,230.0,DEVILSB_1,6,0,0.0,0,0,PJM
218339,Wind,1002,2051,10.15,40.3493,-74.5504,231,230.0,DEVILSB_1,6,0,0.0,0,0,PJM
218469,CoalST,245,2036,725.0,40.5324,-74.346,231,230.0,METUCHEN,6,0,0.0,0,0,PJM
218469,CoalST,245,2051,725.0,40.5324,-74.346,231,230.0,METUCHEN,6,0,0.0,0,0,PJM
219102,Solar,722,2031,18.79,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
219102,Solar,722,2036,18.79,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
219102,Solar,722,2051,18.79,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
219102,Wind,1004,2031,29.0,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
219102,Wind,1004,2036,29.0,40.0751,-74.8743,231,230.0,BURLING,6,0,0.0,0,0,PJM
