scen,from,to,lid,year,level,bus,latitude_i,longitude_i,area_i,baskv_i,bus_name_i,ord_i,isbb_i,isei_i,islf_i,ispoi_i,iso_i,latitude_j,longitude_j,area_j,baskv_j,bus_name_j,ord_j,isbb_j,isei_j,islf_j,ispoi_j,iso_j
1,114,113,2843,2051,3328.7236771641683,114,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT,38.7508252088469,-74.5401205109267,0,,,3,0,1.0,0,0,OUT
1,116,114,2850,2046,2024.8956782165392,116,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
1,116,114,2850,2051,3985.781817341326,116,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT,38.1724673534806,-73.4478488906151,0,,,3,0,1.0,0,0,OUT
1,116,115,2851,2036,445.0475991399917,116,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
1,116,115,2851,2041,445.0475991399917,116,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
1,116,115,2851,2046,445.0475991399917,116,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
1,116,115,2851,2051,445.0475991399917,116,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
1,117,115,2854,2046,1321.9909870655285,117,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
1,117,115,2854,2051,5142.879067536562,117,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT,38.2001312094649,-74.5610930191436,0,,,3,0,1.0,0,0,OUT
1,117,116,2855,2036,833.7814500716668,117,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,117,116,2855,2041,1726.3575011944579,117,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,117,116,2855,2046,5389.549274424526,117,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,117,116,2855,2051,9660.130855886544,117,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,118,116,2856,2036,21.960917343526376,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,118,116,2856,2041,76.62488055422966,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,118,116,2856,2046,202.43769102955605,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,118,116,2856,2051,202.43769102955605,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,37.4871806471642,-74.1446084820331,0,,,3,0,1.0,0,0,OUT
1,118,117,2857,2036,2034.5720496894405,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,118,117,2857,2041,3350.9300645007156,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,118,117,2857,2046,10138.347723704866,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,118,117,2857,2051,13301.312308970446,118,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,119,118,2860,2036,343.4670329670329,119,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
1,119,118,2860,2041,572.4450549450551,119,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
1,119,118,2860,2046,1659.2145852655774,119,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
1,119,118,2860,2051,2496.2499999999995,119,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT,36.6517123151806,-74.3684229012616,0,,,3,0,1.0,0,0,OUT
1,120,117,2858,2036,2460.07209746775,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,120,117,2858,2041,4174.517478811224,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,120,117,2858,2046,6329.8766693101625,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,120,117,2858,2051,10869.881607362837,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,36.8282939459915,-75.5494365373999,0,,,3,0,1.0,0,0,OUT
1,120,119,2861,2036,1033.4602962255144,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
1,120,119,2861,2041,1796.8311434074963,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
1,120,119,2861,2046,1796.8311434074963,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
1,120,119,2861,2051,2123.2882007694293,120,36.3567224871587,-75.3493910689382,0,,,3,0,1.0,0,0,OUT,35.9862891684422,-74.4377383878155,0,,,3,0,1.0,0,0,OUT
